fold_id,stock,factor_set,factors,candidate,family,selection_score,active_days,mr_probability_entry,mr_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,selected
6.0,INTC,XLK,XLK,mr_p040_s175,mean_reversion,2.0719048827476727,24.0,0.4,1.75,0.004020134011908372,3.319021090769643e-05,0.0002541360155280515,2.073213680660433,-0.0015848364768125123,0.1322314049586777,0.005235191651040653,0.02104475556525132,0.19834710743801653,0.6334581897759191,True
6.0,ORCL,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s125,mean_reversion,2.4391312632957627,11.0,0.4,1.25,0.003058603381810965,2.5252812023670864e-05,0.00016417464870751417,2.441765316838599,-0.00068145803516384,0.06611570247933884,0.010536214171345185,0.017227683887595296,0.09090909090909091,1.2748819147327675,True
,QCOM,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,TXN,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,AAPL,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,MSFT,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
7.0,NVDA,QQQ_XLK,"QQQ,XLK",mr_p040_s125,mean_reversion,1.8795633598872636,35.0,0.4,1.25,0.01166509082947309,9.538577575163221e-05,0.0008038113963402859,1.8837780285336247,-0.0026855480374623486,0.18032786885245902,0.016858674585444093,0.07486843269110015,0.28688524590163933,2.0567582994241795,True
,AVGO,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
7.0,AMD,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s125,mean_reversion,2.490312294083991,17.0,0.4,1.25,0.007755447909554514,6.34064193917547e-05,0.0004028821365370075,2.498362702466009,-0.0012732658315585121,0.08196721311475409,0.03220163352807344,0.04389278152237851,0.13934426229508196,3.92859929042496,True
,ADBE,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
7.0,CRM,XLK,XLK,mr_p030_s150,mean_reversion,2.211321102030141,20.0,0.3,1.5,0.003950577880410533,3.234522074050277e-05,0.000232108462998667,2.212174663739433,-0.0014098580146786333,0.12295081967213115,0.003414246837167134,0.01597676559720416,0.16393442622950818,0.41653811413439035,True
,CSCO,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
7.0,INTC,XLK,XLK,mr_p040_s175,mean_reversion,4.713194284551198,23.0,0.4,1.75,0.01352359384155144,0.00011018051498735202,0.00037092742257446376,4.7153738047993095,-0.0006821586140934865,0.16393442622950818,0.008718080992444756,0.019359135487589933,0.1885245901639344,1.0636058810782603,True
7.0,ORCL,XLK,XLK,mr_p040_s125,mean_reversion,3.9330634779239753,14.0,0.4,1.25,0.004727253426357825,3.866949551835695e-05,0.000156025132563144,3.9343610911335962,-0.0002851675151176458,0.09836065573770492,0.005190452838484394,0.010580877845004485,0.11475409836065574,0.6332352462950961,True
7.0,QCOM,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s175,mean_reversion,1.2257718067457353,14.0,0.4,1.75,0.00291767960723055,2.392820894064871e-05,0.000309108844700815,1.2288504440063706,-0.0026886974845330425,0.05737704918032787,0.012314549042541527,0.019314551849672068,0.11475409836065574,1.5023749831900663,True
7.0,TXN,SPY_XLK,"SPY,XLK",mr_p035_s125,mean_reversion,2.0892473528383224,10.0,0.35,1.25,0.0036766447496103805,3.0107504708105375e-05,0.00022861249549371022,2.0906198468896395,-0.0004914873933770103,0.07377049180327869,0.005489976205268155,0.008606900040129194,0.08196721311475409,0.6697770970427148,True
,AAPL,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,MSFT,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
8.0,NVDA,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p030_s200,mean_reversion,1.094957817297643,10.0,0.3,2.0,0.00271468500069294,2.227296189570923e-05,0.00032182227976086664,1.0986570261198563,-0.0019375004422687025,0.06557377049180328,0.014796835288852814,0.03305550751559927,0.08196721311475409,1.8052139052400433,True
,AVGO,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,AMD,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,ADBE,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,CRM,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,CSCO,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,INTC,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,ORCL,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
8.0,QCOM,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p035_s125,mean_reversion,3.012455227013444,10.0,0.35,1.25,0.006260817354853954,5.1195506678536184e-05,0.00026955955906861356,3.014931009310835,-0.0004403914390899155,0.06557377049180328,0.009903129189563676,0.01389682214674379,0.08196721311475409,1.2081817611267684,True
8.0,TXN,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p035_s150,mean_reversion,1.5808885853484165,16.0,0.35,1.5,0.0022591890411078897,1.851433384349115e-05,0.0001857613719551618,1.5821692914195695,-0.0015083605244960996,0.09016393442622951,0.005122824284612218,0.021936606056310096,0.13114754098360656,0.6249845627226907,True
,AAPL,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
9.0,MSFT,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s175,mean_reversion,2.722887001278918,21.0,0.4,1.75,0.002625976041845668,2.1681984618051e-05,0.0001263382760967479,2.724359125452751,-0.0004626224170650728,0.12396694214876033,0.005888496695331969,0.028486013499523948,0.17355371900826447,0.7125081001351683,True
,NVDA,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
9.0,AVGO,SPY_XLK,"SPY,XLK",mr_p040_s150,mean_reversion,1.3659829585108905,37.0,0.4,1.5,0.005505776493893277,4.551670571892557e-05,0.0005280550442438806,1.3683333032482516,-0.003573036145814501,0.18181818181818182,0.00940137894944455,0.04462648789094204,0.30578512396694213,1.1375668528827905,True
9.0,AMD,SPY_XLK,"SPY,XLK",mr_p030_s125,mean_reversion,2.342497978503872,15.0,0.3,1.25,0.00761753271728316,6.280772235374495e-05,0.0004252134456948208,2.3448028106100716,-0.0014772460362012518,0.0743801652892562,0.009219328424797894,0.02141025492537711,0.12396694214876033,1.1155387394005452,True
,ADBE,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,CRM,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,CSCO,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
9.0,INTC,QQQ_XLK,"QQQ,XLK",mr_p040_s125,mean_reversion,2.6569258104350104,12.0,0.4,1.25,0.00609757078283879,5.0286040129798674e-05,0.00030019322408317533,2.659174410241822,-0.0012498345653805254,0.06611570247933884,0.008994399227246664,0.013280259047306443,0.09917355371900827,1.0883223064968464,True
,ORCL,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,QCOM,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
9.0,TXN,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s150,mean_reversion,3.2729792155633644,25.0,0.4,1.5,0.006332875533731075,5.2205874320820305e-05,0.00025301294275009424,3.275494737816897,-0.001249403506085156,0.14049586776859505,0.010062089014130473,0.03353649111934221,0.2066115702479339,1.2175127707097873,True
10.0,AAPL,SPY_XLK,"SPY,XLK",mr_p035_s200,mean_reversion,1.4842514439934675,26.0,0.35,2.0,0.0036371604736817886,3.030702842505616e-05,0.00032343566775680207,1.4874956880208425,-0.002216163330503007,0.15,0.01297697610949969,0.021699220628336437,0.21666666666666667,1.5572371331399628,True
10.0,MSFT,XLK,XLK,mr_p040_s125,mean_reversion,2.3248212184241424,25.0,0.4,1.25,0.0026446966649402714,2.2021481823989145e-05,0.0001502778341116107,2.3262258769632935,-0.0004227105787918406,0.125,0.005618634156605307,0.019905562610770988,0.20833333333333334,0.6742360987926368,True
,NVDA,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
10.0,AVGO,SPY_XLK,"SPY,XLK",mr_p040_s175,mean_reversion,2.1377592104711756,12.0,0.4,1.75,0.006156790760410091,5.122207725066448e-05,0.00038006393412645363,2.1394433810650484,-0.0008958293486199809,0.08333333333333333,0.006736682375490747,0.014843197244363148,0.1,0.8084018850588897,True
10.0,AMD,XLK,XLK,mr_p035_s125,mean_reversion,2.5714081896175096,35.0,0.35,1.25,0.011392150151311453,9.457075962471446e-05,0.0005831039511113031,2.5746082919376643,-0.003399749301320587,0.16666666666666666,0.01280040928061803,0.0431863769058447,0.2916666666666667,1.5360491136741634,True
,ADBE,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
